PRODUCTID,NAME,PRODUCT_CATEGORY,PRODUCT_SUBCATEGORY,MODEL_YEAR,PRODUCT_SK_U
1,Basic Backpacking Kits,Rental Gear,Camping Gear,2010,PRD001
2,Lightweight Backpacking Kits,Rental Gear,Camping Gear,2009,PRD002
3,Car Camping Kits,Rental Gear,Camping Gear,2001,PRD003
4,Basic Coolers,Rental Gear,Camping Gear,2008,PRD004
5,Mountaineering Packages,Rental Gear,Climbing Gear,2008,PRD005
6,Mountaineering Tents  2 Person,Rental Gear,Climbing Gear,2010,PRD006
7,Mountaineering Boots  Adult Plastic,Rental Gear,Climbing Gear,2009,PRD007
8,Full Suspension Mountain Bikes  Adult,Rental Gear,Cycling Gear,2001,PRD008
9,Hardtail Mountain Bikes  Adult Basic,Rental Gear,Cycling Gear,2008,PRD009
10,Hardtail Mountain Bikes  Adult Premium,Rental Gear,Cycling Gear,2008,PRD010
11,Canoes,Rental Gear,Paddling Gear,2010,PRD011
12,Paddle Boards - Hardshell,Rental Gear,Paddling Gear,2009,PRD012
13,Paddle Board Paddles,Rental Gear,Paddling Gear,2001,PRD013
14,Snow Probes,Rental Gear,Snow Gear,2008,PRD014
15,Snow Shovels,Rental Gear,Snow Gear,2008,PRD015
16,Splitboard  Adult,Rental Gear,Snow Gear,2010,PRD016
17,2-Bike Racks,Rental Gear,Car Racks,2009,PRD017
18,Ski Racks,Rental Gear,Car Racks,2001,PRD018
